2,-388.185,-630.782
3,237.5,-706.636
4,1056.76,-454.512
5,1225.53,-397.827
6,1518.51,-75.355
7,1531.8,163.324
8,1336.42,352.955
9,556.458,628.116
10,191.507,646.353
11,-228.096,646.102
12,-814.936,527.196
13,-1359.52,325.879
14,-1720,-12.5
15,-1744.81,-173.827
16,-1527.93,-369.885
17,-1426.33,-472.955
18,-808.904,-543.532
19,-540.958,-647.405
20,-218.099,-521.59
21,182.956,-281.105
22,822.212,-91.887
23,1439.02,-76.5303
24,1605.82,-3.44202
25,1627.48,102.72
26,1267.69,171.762
27,620.975,401.978
28,292.308,408.599
29,-62.7119,542.769
30,-343.97,682.472
31,-682.117,728.505
32,-1154.77,576.001
33,-1451.55,294.636
34
35,-1293.45,-283.649
36,-1462.66,-300.928
37,-1100.64,-538.668
38,-724.572,-633.474
39,-452.569,-621.707
40,182.172,-657.616
41,584.455,-557.875
42,879.37,-442.216
43,1184,-331.193
44,1268.57,-224.975
45,1166.68,25.8459
46,660.06,350.858
47,439.852,400.835
48,287.781,360.549
49,-460.345,-112.807,690.085,608.426
50,932.131,518.186
51,-820.165,-590.355,957.375,423.629
52,-885.602,-667.911
53,-1320,-312.5
54,-440,-200
55,-1271.77,253.886
56,-1094.55,111.383
57,-662.579,212.628
58
59,-1215.37,13.8393
60,-289.308,-408.835
61,421.72,-493.207
62,801.435,-558.183
63,674.133,-720.758
64,1578.96,-60.4076
65
66
67
68,467.709,303.614
69,8.41846,550.057
70,-447.883,480.984
71,-832.344,500.263
72,-1164.98,411.206
73,-1441.59,305.503
74
75
76,-438.776,286.019
77,-564.889,-279.091
78,-930.228,-479.117
79,-1116.96,-333.876
80,-680,-912.5
81,-528.139,-956.841
82,-195.178,-819.42,1099.92,-190.761
83,80.8584,-713.506,1390.91,-12.3392
84
85
86,829.445,85.3173
87,695.105,150.676
88,744.191,113.204
89,134.238,-351.173,1295.39,433.573
90,-136.343,-607.471,1318.31,387.408
91,-361.348,-728.238,1148.82,250.688
92,-530.107,-759.704,809.577,85.8038
93,-697.469,-764.492,395.593,-121.504
94,-1152.21,-566.181,-465.735,90.3495
95,-1466.76,-283.095
96
97
98,-972.46,291.417
99,-605.631,281.149
100
101,-1091.35,68.0244
102,-10.6764,-203.488
103,443.394,-437.575
104,1025.2,-421.783
105,1024.83,-357.19
106,1349.53,-139.533
107
108,670.679,-237.967
109,564.244,11.8513
110,-948.586,-570.963,-307.809,-90.975
111,-869.729,-230.054
112,-1106.69,-208.674
113
114
115,-1394.69,51.1588
116,-1028.25,71.7373
117,-1124.32,-227.199
118,-1360,-256.25
119,-1164.93,-448.866
120,-717.772,-553.556
121,-42.6927,-802.573
122,42.9087,-859.729,976.706,-394.706
123,1342.13,-161.074
124
125
126
127
128,177.068,336.418
129,-472.256,678.579
130,-1260,606.25
131,-1484.26,444.917
132
133
134,145.157,506.388
135,-589.464,-459.052,280.959,271.438
136,-290.731,-373.146
137,-994.512,-317.748
138,142.288,-518.75
139,-539.515,-863.471,453.834,-408.709
140,686.081,-202.939
141
142
143
144,-404.737,133.059
145,-111.334,321.97
146,174.893,262.005
147
148
149
150
151,392.654,-363.127
152,95.2627,-329.266
153,492.292,-121.855
154
155
156
157
158,412.33,79.7449
159,-189.968,219.211
160,343.896,248.471
161
162
163
164,714.745,-535.808,-286.953,84.736
165,286.428,-393.125
166,249.532,-327.271
167
168
169
170
171
172,316.422,123.595
173
174
175
176
177
178
179
180
181
182
183
184
185
186
187
188
189
190
191
192
193
194
195
196
